id,name
1,Accountant
2,Accounts Assistant
3,Accounts Clerk
4,Accounts Manager
5,Accounts Staff
6,Acoustic Engineer
7,Actor
8,Actress
9,Actuary
10,Acupuncturist
11,Adjustor
12,Administration Assistant
13,Administration Clerk
14,Administration Manager
15,Administration Staff
16,Administrator
17,Advertising Agent
18,Advertising Assistant
19,Advertising Clerk
20,Advertising Contractor
21,Advertising Executive
22,Advertising Manager
23,Advertising Staff
24,Aerial Erector
25,Aerobic Instructor
26,Aeronautical Engineer
27,Agent
28,Air Traffic Controller
29,Aircraft Designer
30,Aircraft Engineer
31,Aircraft Maintenance Engineer
32,Aircraft Surface Finisher
33,Airman
34,Airport Controller
35,Airport Manager
36,Almoner
37,Ambulance Controller
38,Ambulance Crew
39,Ambulance Driver
40,Amusement Arcade Worker
41,Anaesthetist
42,Analyst
43,Analytical Chemist
44,Animal Breeder
45,Anthropologist
46,Antique Dealer
47,Applications Engineer
48,Applications Programmer
49,Arbitrator
50,Arborist
51,Archaeologist
52,Architect
53,Archivist
54,Area Manager
55,Armourer
56,Aromatherapist
57,Art Critic
58,Art Dealer
59,Art Historian
60,Art Restorer
61,Artexer
62,Artist
63,Arts
64,Assembly Worker
65,Assessor
66,Assistant
67,Assistant Caretaker
68,Assistant Cook
69,Assistant Manager
70,Assistant Nurse
71,Assistant Teacher
72,Astrologer
73,Astronomer
74,Attendant
75,Au Pair
76,Auction Worker
77,Auctioneer
78,Audiologist
79,Audit Clerk
80,Audit Manager
81,Auditor
82,Auto Electrician
83,Auxiliary Nurse
84,Bacon Curer
85,Baggage Handler
86,Bailiff
87,Baker
88,Bakery Assistant
89,Bakery Manager
90,Bakery Operator
91,Balloonist
92,Bank Clerk
93,Bank Manager
94,Bank Messenger
95,Baptist Minister
96,Bar Manager
97,Bar Steward
98,Barber
99,Barmaid
100,Barman
101,Barrister
102,Beautician
103,Beauty Therapist
104,Betting Shop
105,Bill Poster
106,Bingo Caller
107,Biochemist
108,Biologist
109,Blacksmith
110,Blind Assembler
111,Blind Fitter
112,Blinds Installer
113,Boat Builder
114,Body Fitter
115,Bodyguard
116,Bodyshop
117,Book Binder
118,Book Seller
119,Book-Keeper
120,Booking Agent
121,Booking Clerk
122,Bookmaker
123,Botanist
124,Branch Manager
125,Breeder
126,Brewer
127,Brewery Manager
128,Brewery Worker
129,Bricklayer
130,Broadcaster
131,Builder
132,Builders Labourer
133,Building Advisor
134,Building Control
135,Building Engineer
136,Building Estimator
137,Building Foreman
138,Building Inspector
139,Building Manager
140,Building Surveyor
141,Bursar
142,Bus Company
143,Bus Conductor
144,Bus Driver
145,Bus Mechanic
146,Bus Valeter
147,Business Consultant
148,Business Proprietor
149,Butcher
150,Butchery Manager
151,Butler
152,Buyer
153,Cab Driver
154,Cabinet Maker
155,Cable Contractor
156,Cable Jointer
157,Cable TV Installer
158,Cafe Owner
159,Cafe Staff
160,Cafe Worker
161,Calibration Manager
162,Camera Repairer
163,Cameraman
164,Car Dealer
165,Car Delivery Driver
166,Car Park Attendant
167,Car Salesman
168,Car Valet
169,Car Wash Attendant
170,Care Assistant
171,Care Manager
172,Careers Advisor
173,Careers Officer
174,Caretaker
175,Cargo Operator
176,Carpenter
177,Carpet Cleaner
178,Carpet Fitter
179,Carpet Retailer
180,Carphone Fitter
181,Cartographer
182,Cartoonist
183,Cashier
184,Casual Worker
185,Caterer
186,Catering Consultant
187,Catering Manager
188,Catering Staff
189,Caulker
190,Ceiling Contractor
191,Ceiling Fixer
192,Cellarman
193,Chambermaid
194,Chandler
195,Chaplain
196,Charge Hand
197,Charity Worker
198,Chartered
199,Chartered Accountant
200,Chauffeur
201,Chef
202,Chemist
203,Chicken Chaser
204,Child Minder
205,Childminder
206,Chimney Sweep
207,China Restorer
208,Chiropodist
209,Chiropractor
210,Choreographer
211,Church Officer
212,Church Warden
213,Cinema Manager
214,Circus Proprietor
215,Circus Worker
216,Civil Engineer
217,Civil Servant
218,Claims Adjustor
219,Claims Assessor
220,Claims Manager
221,Clairvoyant
222,Classroom Aide
223,Cleaner
224,Clergyman
225,Cleric
226,Clerk
227,Commissioned
228,Consultant
229,Coroner
230,Councillor
231,Counsellor
232,Dealer
233,Decorator
234,Delivery Driver
235,Doctor
236,Driver
237,Economist
238,Editor
239,Employee
240,Employment
241,Engineer
242,English Teacher
243,Entertainer
244,Envoy
245,Executive
246,Farmer
247,Fireman
248,Floor Layer
249,Floor Manager
250,Florist
251,Flour Miller
252,Flower Arranger
253,Flying Instructor
254,Foam Convertor
255,Food Processor
256,Footballer
257,Foreman
258,Forensic Scientist
259,Forest Ranger
260,Forester
261,Fork Lift Truck Driver
262,Forwarding Agent
263,Foster Parent
264,Foundry Worker
265,Fraud Investigator
266,French Polisher
267,Fruiterer
268,Fuel Merchant
269,Fund Raiser
270,Funeral Director
271,Funeral Furnisher
272,Furnace Man
273,Furniture Dealer
274,Furniture Remover
275,Furniture Restorer
276,Furrier
277,Gallery Owner
278,Gambler
279,Gamekeeper
280,Gaming Board Inspector
281,Gaming Club Manager
282,Gaming Club Proprietor
283,Garage Attendant
284,Garage Foreman
285,Garage Manager
286,Garda
287,Garden Designer
288,Gardener
289,Gas Fitter
290,Gas Mechanic
291,Gas Technician
292,Gate Keeper
293,Genealogist
294,General Practitioner
295,Geologist
296,Geophysicist
297,Gilder
298,Glass Worker
299,Glazier
300,Goldsmith
301,Golf Caddy
302,Golf Club Professional
303,Golfer
304,Goods Handler
305,Governor
306,Granite Technician
307,Graphic Designer
308,Graphologist
309,Grave Digger
310,Gravel Merchant
311,Green Keeper
312,Greengrocer
313,Grocer
314,Groom
315,Ground Worker
316,Groundsman
317,Guest House Owner
318,Guest House Proprietor
319,Gun Smith
320,Gynaecologist
321,HGV Driver
322,HGV Mechanic
323,Hairdresser
324,Handyman
325,Hardware Dealer
326,Haulage Contractor
327,Hawker
328,Health Advisor
329,Health And Safety
330,Health Care Assistant
331,Health Consultant
332,Health Nurse
333,Health Planner
334,Health Service
335,Health Therapist
336,Health Visitor
337,Hearing Therapist
338,Heating Engineer
339,Herbalist
340,Highway Inspector
341,Hire Car Driver
342,Historian
343,History Teacher
344,Hod Carrier
345,Home Economist
346,Home Help
347,Homecare Manager
348,Homeopath
349,Homeworker
350,Hop Merchant
351,Horse Breeder
352,Horse Dealer
353,Horse Riding Instructor
354,Horse Trader
355,Horse Trainer
356,Horticultural Consultant
357,Horticulturalist
358,Hosiery Mechanic
359,Hosiery Worker
360,Hospital Consultant
361,Hospital Doctor
362,Hospital Manager
363,Hospital Orderly
364,Hospital Technician
365,Hospital Warden
366,Hospital Worker
367,Hostess
368,Hot Foil Printer
369,Hotel Consultant
370,Hotel Worker
371,Hotelier
372,Househusband
373,Housekeeper
374,Housewife
375,Housing Assistant
376,Housing Officer
377,Housing Supervisor
378,Hygienist
379,Hypnotherapist
380,Hypnotist
381,IT Consultant
382,IT Manager
383,IT Trainer
384,Ice Cream Vendor
385,Illustrator
386,Immigration Officer
387,Import Consultant
388,Importer
389,Independent Means
390,Induction Moulder
391,Industrial Chemist
392,Industrial Consultant
393,Injection Moulder
394,Inspector
395,Instructor
396,Instrument Engineer
397,Instrument Maker
398,Instrument Supervisor
399,Instrument Technician
400,Insurance Agent
401,Insurance Assessor
402,Insurance Broker
403,Insurance Consultant
404,Insurance Inspector
405,Insurance Staff
406,Interior Decorator
407,Interior Designer
408,Interpreter
409,Interviewer
410,Inventor
411,Investigator
412,Investment Advisor
413,Investment Banker
414,Investment Manager
