id,name
1,Ability to Work Under Pressure
2,Able to Build Relationships
3,Able to Listen
4,Able to Operate Under Pressure
5,Accept Feedback
6,Accounting
7,Accuracy
8,Achievement
9,Acknowledging Others
10,Active Listening
11,Actively listening to the concerns of team members
12,Acupuncturist
13,Adaptability to changing circumstances
14,Adaptability
15,Adaptable
16,Adaptable (work in changing environment)
17,Addressing behavior which disrupts group harmony
18,Adjusting
19,Administrative
20,Administrative / Secretarial
21,Adobe Illustrator
22,Adobe InDesign
23,Adobe Photoshop
24,Advertising
25,Advising
26,Agreeing on roles that capitalize on individual strengths
27,Aircraft Mechanic
28,Algorithms
29,An IT staff member working with the payroll manager to modify the automated system for processing payroll
30,Analysis
31,Analytical
32,Analytical
33,Analytical
34,Analytics
35,Analyzing
36,Analyzing problems without assigning blame
37,Android
38,Android Developer
39,APIs
40,Application Design
41,Applications
42,Architect
43,Art Curator
44,Art Design
45,Artistic Sense
46,Assembling
47,Assembling Apparatus
48,Assertive
49,Assertiveness
50,Assessing group progress
51,Assessing the strengths and weaknesses of partners
52,Attentive
53,Auction House
54,Auditing
55,AutoCAD
56,Automotive
57,Backup Management
58,Balancing
59,Banking
60,Barista
61,Bartender
62,Beautician
63,Behavioral
64,Behavioral 
65,Being Artistic/Creative
66,Being Thorough
67,Benchmarking
68,Big Data
69,Biomedical Engineer
70,Bivariate
71,Blogging
72,Blue Collar Jobs
73,Blue Collar
74,Boilermaker
75,Bookkeeping
76,Brainstorming solutions to problems
77,Brainstorming strategies and solutions freely
78,Brick Mason
79,Broadcaster
80,Budgeting
81,Building consensus about goals and processes for group projects
82,Business
83,Business 
84,Business analysis
85,Business Analyst
86,Business Development
87,Business Intelligence
88,Business Manager
89,Business Storytelling
90,Business Storytelling 
91,Business Trend Awareness
92,C
93,C++
94,Calculating
95,Calculations
96,Career Counselor
97,Caring
98,Carpentry
99,Case analysis
100,Cashier
101,CATWOE
102,Causal relationships
103,Certifications
104,Challenging Employees
105,Change Leadership
106,Checking for accuracy
107,Chef
108,Chiropractor 
109,Civil Engineer
110,Claims Adjuster
111,Classifying
112,Classifying Records
113,Clerical
114,Client Server
115,Client Service
116,Client Support
117,Clinical Laboratory Technician
118,Cloud Computing
119,Coaching
120,Coaching Individuals
121,Coding
122,Cohort analysis
123,Collaborating
124,Collaboration
125,Collect information
126,College Admissions
127,Comforting
128,Commitment
129,Communication
130,Communication 
131,Community Building
132,Company analysis
133,Comparative analysis
134,Comparing
135,Compassion
136,Competitive
137,Compiling
138,Compiling Statistics
139,Compromising when necessary to move the group forward
140,Computer
141,Computer 
142,computer and Internet Skills
143,Computer Languages
144,Computer Operation
145,Computer Programming
146,Computer Systems Analyst
147,Computing
148,Conceptual
149,Concierge 
150,Conducting Meetings
151,Confidence
152,Confidence Building
153,Confident
154,Configuration
155,Conflict Management
156,Conflict Resolution
157,Confronting Others
158,Construction
159,Constructive Criticism
160,Consultation
161,Consulting
162,Content
163,Content Management
164,Content Management Systems (CMS)
165,Content Manager
166,Content Managment
167,Content Marketing
168,Content Strategist
169,Content Strategy
170,Contributing
171,Cooperation
172,Cooperation by managers of departments comprising cross functional teams
173,Cooperative
174,Coordination
175,Copywriting
176,Corel Draw
177,Corel Word Perfect
178,Correlation
179,Cost analysis
180,Counseling
181,Counting
182,Courage
183,Courteous
184,Creating Ideas
185,Creating Innovation
186,Creating New Procedures
187,Creating New Solutions
188,Creative Thinking
189,Creativity
190,Credit analysis
191,Crisis Management
192,Critical analysis
193,Critical Observer
194,Critical Thinker
195,Critical Thinking
196,CSS
197,Cultivating positive group leaders
198,Custodian
199,Customer Service
200,Customer Service 
201,Customer Support
202,Data
203,Data analysis
204,Data Analyst
205,Data Analytics
206,Data collection
207,Data Engineering
208,Data Mining
209,Data Science
210,Data Scientist
211,Data Warehousing
212,Database Administration
213,Database Administrator
214,Database Design
215,Database Management
216,Deal Making
217,Deal with Difficult Situations
218,Deal with Office Politics
219,Deals with Difficult People
220,Debugging
221,Decision Making
222,Decisiveness
223,Dedicated
224,Deductive reasoning
225,Defining mutually acceptable roles
226,Defining Performance Standards
227,Defining Problems
228,Defining work roles clearly
229,Delegating tasks to appropriate members
230,Delegating tasks with open discussion
231,Delegation
232,Demonstrations
233,Dental Assistant
234,Dental Hygienist
235,Dentist
236,Dependability
237,Dependable
238,Descriptive analysis
239,Design
240,Design Sense
241,Desire to Learn
242,Desktop Publishing
243,Detail Management
244,Detail-oriented
245,Developing Rapport
246,Development
247,Diagnosing
248,Diagnosis
249,Diagnostics
250,Dietician / Nutritionist
251,Digital Marketing
252,Digital Media
253,Diplomacy
254,Directing Others
255,Disability Awareness
256,Dispensing Information
257,Displaying a willingness to find solutions to problems
258,Displaying Ideas
259,Dispute Resolution
260,Dissecting
261,Diversity
262,Diversity Awareness
263,Document
264,Documentation
265,Drawing consensus around goals and processes
266,Drawing consensus around goals and strategies
267,Drilling
268,Driving
269,Economics
270,Editing
271,Effective Communicator
272,Efficient
273,Electrician
274,Electronics
275,Eliciting the views of reluctant group members
276,Email
277,Emotion Management
278,Emotional Control
279,Emotional Intelligence
280,Empathetic
281,Empathy
282,Employability
283,EMT / Firefighter
284,Encourage
285,Encouragement
286,Encouraging
287,Encouraging input from reticent members
288,End User Support
289,Energetic
290,Engagement
291,Engineering
292,Enhancing productivity
293,Entertainment
294,Enthusiastic
295,Entrepreneurial
296,Equipment Operation
297,Ergonomic Sensitivity
298,Establish Interpersonal Relationships
299,Establishing group norms
300,Esthetician 
301,Evaluating
302,Evaluative
303,Event Planning
304,Examining
305,Excel
306,Executive
307,Executive Assistant
308,Expanding Ideas
309,Experience
310,Experience Dealing with Difficult Personalities
311,Expression of Feelings
312,Fabrication
313,Facilitating
314,Facilitating group discussion
315,Fashion Buyer
316,Fashion Design
317,Fast Food 
318,FileMaker Pro
319,Finance
320,Finance 
321,Financial Advisor / Planner
322,Financial analysis
323,Financial Management
324,Financial recording
325,Financial Report Auditing
326,Finishing
327,Flexibility
328,Flexible
329,Flexible
