id,city_id,name
1,3,"Government Sadiq College Women University, Bahawalpur"
2,3,"Islamia University, Bahawalpur"
3,7,"Ghazi University, Dera Ghazi Khan"
4,8,"National Textile University, Faisalabad"
5,8,"Government College University, Faisalabad "
6,8,"Government College for Women University, Faisalabad"
7,8,"University of Agriculture, Faisalabad"
8,10,"University of Gujrat, Gujrat "
9,17,"National College of Arts, Lahore (NCA)"
10,17,"Pakistan Institute of Fashion and Design, Lahore"
11,17,"Virtual University of Pakistan, Lahore"
12,17,"Government College University, Lahore"
13,17,"Information Technology University of the Punjab, Lahore"
14,17,"King Edward Medical University, Lahore "
15,17,"Kinnaird College for Women, Lahore"
16,17,"Lahore College for Women University, Lahore"
17,17,"University of Education, Lahore"
18,17,"University of Engineering & Technology, Lahore"
19,17,"University of Health Sciences, Lahore"
20,17,"University of the Punjab, Lahore"
21,17,"University of Veterinary & Animal Sciences, Lahore"
22,17,"Lahore University of Management Sciences (LUMS), Lahore"
23,17,"Forman Christian College, Lahore (university status)"
24,17,"University of Management & Technology, Lahore"
25,22,"NFC Institute of Engineering & Technology, Multan"
26,22,"Bahauddin Zakariya University, Multan"
27,22,"Muhammad Nawaz Shareef University of Agriculture, Multan"
28,22,"The Women University, Multan "
29,28,"Khawaja Freed University of Engineering & Information Technology, Rahim Yar Khan"
30,30,"Fatima Jinnah Women University, Rawalpindi"
31,30,"Pir Mehr Ali Shah Arid Agriculture, University Rawalpindi"
32,32,"University of Sargodha, Sargodha"
33,34,"Government College for Women University, Sialkot"
34,40,"Isra University, Hyderabad"
35,42,"Liaquat University of Medical and Health Sciences, Jamshoro Sindh."
36,42,"Mehran University of Engineering & Technology, Jamshoro"
37,42,"University of Sindh, Jamshoro"
38,43,"Sindh Madresatul Islam University, Karachi"
39,43,"Benazir Bhutto Shaheed University Lyari, Karachi"
40,43,"DOW University of Health Sciences, Karachi "
41,43,"Institute of Business Administration, Karachi"
42,43,"NED University of Engineering & Technology, Karachi"
43,43,"Shaheed Zulfiqar Ali Bhutto University of Law, Karachi"
44,43,"University of Karachi, Karachi "
45,43,"Aga Khan University, Karachi"
46,43,"Baqai Medical University, Karachi"
47,43,"Institute of Business Management, Karachi"
48,43,"Jinnah University for Women, Karachi"
49,45,"Gambat Institute of Medical Sciences, Khairpur"
50,45,"Shah Abdul Latif University, Khairpur"
51,46,"Shaheed Mohtarma Benazir Bhutto Medical University, Larkana"
52,50,Shaheed Benazir Bhutto University Shaheed Benazirabad
53,55,"Sukkur Institute of Business Administration, Sukkur "
54,62,"University of Science & Technology, Bannu"
55,65,"Bacha Khan University, Charsadda"
56,67,"Gomal University, D.I. Khan"
57,69,"University of Haripur, Haripur"
58,71,"University of FATA, Kohat "
59,71,"Kohat University of Science and Technology, Kohat"
60,71,"Khushal Khan Khattak University, Karak"
61,74,"Shaheed Benazir Bhutto University, Sheringal, Dir"
62,75,"University of Malakand, Chakdara, Dir, Malakand"
63,76,"Hazara University, Dodhial, Mansehra"
64,77,"Abdul Wali Khan University, Mardan"
65,79,"Frontier Women University, Peshawar"
66,79,"Institute of Management Science, Peshawar (IMS)"
67,79,"Islamia College University, Peshawar"
68,79,"Khyber Medical University, Peshawar "
69,79,"Khyber Pakhtunkhwa Agricultural University, Peshawar"
70,79,"University of Engineering & Technology, Peshawar"
71,79,"University of Peshawar, Peshawar"
72,81,University of Swabi
73,82,"University of Swat, Swat"
74,99,"Balochistan University of Engineering & Technology, Khuzdar"
75,102,"Lasbela University of Agriculture, Water and Marine Sciences"
76,103,"University of Loralai, Loralai"
77,110,"Balochistan University of Information Technology & Management Sciences, Quetta"
78,110,"Sardar Bahadur Khan Women University, Quetta"
79,110,"University of Balochistan, Quetta"
80,118,"University of Turbat, Turbat"
81,132,"University of Azad Jammu & Kashmir, Muzaffarabad, Azad Kashmir, Muzaffarabad"
82,137,"University of Management Sciences and Information Technology, Kotli"
83,139,Women University of Azad Jammu and Kashmir Bagh
84,146,"Karakurum International University, Gilgit, Gilgit Baltistan"
85,151,"Air University, Islamabad"
86,151,"Allama Iqbal Open University, Islamabad (AIOU)"
87,151,"Bahria University, Islamabad"
88,151,"COMSATS Institute of Information Technology, Islamabad"
89,151,"Dawood University of Engineering & Technology, Karachi "
90,151,"Federal Urdu University of Arts, Sciences & Technology, Islamabad"
91,151,"Institute of Space Technology, Islamabad (IST)"
92,151,"International Islamic University, Islamabad"
93,151,"National Defense University, Islamabad (NDU)"
94,151,"National University of Modern Languages, Islamabad (NUML)"
95,151,"National University of Sciences & Technology, Rawalpindi/ Islamabad (NUST)"
96,151,"National University of Medical Sciences, Islamabad"
97,151,"Pakistan Institute of Development Economics (PIDE), Islamabad"
98,151,"Pakistan Institute of Engineering & Applied Sciences, Islamabad (PIEAS)"
99,151,"Shaheed Zulfiqar Ali Bhutto Medical University, Islamabad"
100,151,"Quaid-i-Azam University, Islamabad"
101,151,"Foundation University, Islamabad"
102,151,"National University of Computer and Emerging Sciences, Islamabad"
103,151,"Riphah International University, Islamabad"
104,152,"University of Poonch, Rawalakot"
105,153,"University of Engineering & Technology, Taxila "
106,154,"Peoples University of Medical and Health Sciences for Women, Nawabshah (Shaheed Benazirabad) "
107,154,"Quaid-e-Awam University of Engineering, Sciences & Technology, Nawabshah"
108,155,"Sindh Agriculture University, Tandojam"
109,135,"Mirpur University of Science and Technology (MUST), AJ&K"
110,43,Jinnah Sindh Medical University
111,156,Shaheed Benazir Bhutto University of Veterinary And Animal Sciences Sakrand
112,151,"Federal Board of Intermediate and Secondary Education, Islamabad "
113,8,"Board of Intermediate and Secondary Education, Faisalabad "
114,3,"Board of Intermediate and Secondary Education, Bahawalpur "
115,9,"Board of Intermediate and Secondary Education, Gujranwala "
116,17,"Board of Intermediate and Secondary Education, Lahore "
117,22,"Board of Intermediate and Secondary Education, Multan "
118,30,"Board of Intermediate and Secondary Education, Rawalpindi "
119,31,"Board of Intermediate and Secondary Education, Sahiwal "
120,32,"Board of Intermediate and Secondary Education, Sargodha "
